20220510	16:43:49 	 c842130f-7382-4a20-b77d-b3ff8636db1a 	 GET 	 undefined 	/states
20220510	16:45:29 	 c7889350-9787-4bec-a22c-a86fb89b787f 	 GET 	 undefined 	/states
20220510	16:47:03 	 7ec27bf1-d8c1-4661-b2db-d51e9b50d08b 	 GET 	 undefined 	/states
20220510	16:48:46 	 920e603a-a1e7-489d-a7e0-a6a5444ec236 	 GET 	 undefined 	/states
20220510	16:49:42 	 273a5a59-43b3-4812-8c84-b6120020dcd2 	 GET 	 undefined 	/states
20220510	16:50:17 	 d2bc965c-72c7-41c4-b8a7-8a85ef035711 	 GET 	 undefined 	/states
20220510	16:52:55 	 100d9c29-0b87-42a7-8459-833c31e39f3f 	 GET 	 undefined 	/states
20220510	16:56:03 	 e1450e26-dd5a-4078-a038-24c68e3075d5 	 GET 	 undefined 	/states
20220510	16:56:54 	 f45c8c0c-b7e8-49f6-a21e-46aa02ffe51c 	 GET 	 undefined 	/states/ks/funfact
20220510	16:57:02 	 a4eb63e0-f2b8-4070-9627-665ae7b81919 	 GET 	 undefined 	/states/ks/capital
20220510	16:57:05 	 2db54ee2-0715-4a3d-a8a4-ca5b06a948d9 	 GET 	 undefined 	/states/ks/funfact
20220510	16:59:23 	 4649611a-e503-432b-9068-82798269c5df 	 GET 	 undefined 	/states/ny/funfact
20220510	16:59:26 	 16e0448e-0097-4fd8-b482-62d793fbcb49 	 GET 	 undefined 	/states/ny/funfact
20220510	16:59:27 	 a82f53b5-1792-4107-bc33-a43ab4739876 	 GET 	 undefined 	/states/ny/funfact
20220510	17:01:10 	 5bf8538e-cda9-4071-8a76-b73137d999f7 	 GET 	 undefined 	/states/ny/funfact
20220510	17:01:15 	 998fa22a-8d3b-4677-9093-10e26af8df57 	 GET 	 undefined 	/states/ny/funfact
20220510	17:01:18 	 da981613-e52c-4334-a949-e023feceba30 	 GET 	 undefined 	/states/ny/funfact
20220510	17:02:39 	 82919d35-8443-4892-b7df-20afc7a267bd 	 GET 	 undefined 	/states/ny/funfact
20220510	17:02:41 	 6986e790-8568-4be5-85a7-4df7f6e289cc 	 GET 	 undefined 	/states/ny/funfact
